name,category,meal_types,storage_days,flavor_profile,ingredients,instructions
白ごはん,主食,"breakfast,lunch,dinner",0,和風,6:150:蒸す,米を研いで炊飯器で炊く
トースト,主食,breakfast,0,洋風,7:60:焼く,食パンをトースターで焼く
ざるそば,主食・主菜,"lunch,dinner",0,和風,2:200:茹でる,そばを茹でて水で締め、つゆにつけて食べる
かけうどん,主食・主菜,"lunch,dinner",0,和風,1:230:茹でる,うどんを茹でて温かいつゆをかける
焼き鮭,主菜,"breakfast,dinner",1,和風,60:80:焼く,鮭の切り身に塩をふってグリルで焼く
鶏の照り焼き,主菜,"lunch,dinner",2,和風,52:100:焼く,鶏もも肉を焼いて醤油・みりん・砂糖のタレで絡める
豚の生姜焼き,主菜,"lunch,dinner",1,和風,50:100:焼く|11:5:生,豚ロースを生姜醤油で焼く
サバの塩焼き,主菜,"lunch,dinner",1,和風,59:80:焼く,サバに塩をふってグリルで焼く
目玉焼き,主菜,breakfast,0,洋風,61:60:焼く,フライパンに油を敷いて卵を割り入れ、蓋をして焼く
卵焼き,主菜,"breakfast,lunch",1,和風,61:60:焼く,卵を溶いて砂糖・塩・出汁を加え、巻きながら焼く
冷奴,主菜,"lunch,dinner",0,和風,39:150:生,豆腐を切って薬味と醤油をかける
納豆,主菜,breakfast,0,和風,38:45:生,納豆をよく混ぜてごはんにかける
ハンバーグ,主菜,"lunch,dinner",2,洋風,46:100:焼く|29:30:炒める|61:15:生,ひき肉・炒め玉ねぎ・卵を混ぜて成形し、焼く
ほうれん草のおひたし,副菜,"breakfast,lunch,dinner",2,和風,15:80:茹でる,ほうれん草を茹でて水気を切り、出汁醤油をかける
きんぴらごぼう,副菜,"lunch,dinner",3,和風,10:50:炒める|14:20:炒める,ごぼうと人参を千切りにして甘辛く炒める
キャベツの千切り,副菜,"lunch,dinner",0,和風,19:60:生,キャベツを千切りにする
トマトサラダ,副菜,"lunch,dinner",0,洋風,21:80:生|25:20:生,トマトとレタスを切ってドレッシングをかける
ブロッコリーの塩ゆで,副菜,"lunch,dinner",2,洋風,23:60:茹でる,ブロッコリーを小房に分けて塩茹でする
もやし炒め,副菜,"lunch,dinner",1,中華,16:80:炒める,もやしを油で炒めて塩こしょうで味付け
ひじきの煮物,副菜,"lunch,dinner",3,和風,34:10:煮る|14:15:煮る,ひじきを戻して人参と一緒に甘辛く煮る
かぼちゃの煮物,副菜,"lunch,dinner",3,和風,8:80:煮る,かぼちゃを一口大に切って出汁と醤油で煮る
味噌汁（豆腐・わかめ）,汁物,"breakfast,lunch,dinner",1,和風,39:30:煮る|35:5:煮る|74:12:生,出汁に味噌を溶き、豆腐とわかめを入れる
味噌汁（なめこ）,汁物,"breakfast,dinner",1,和風,33:30:煮る|74:12:生,出汁になめこを入れて味噌を溶く
けんちん汁,汁物,"lunch,dinner",2,和風,39:30:煮る|27:30:煮る|14:15:煮る|10:15:煮る,豆腐・大根・人参・ごぼうを油で炒めて出汁で煮る
コーンスープ,汁物,"breakfast,lunch",1,洋風,20:30:煮る|64:100:煮る,コーンと牛乳を温めてミキサーにかける
バナナ,デザート,"breakfast,snack",0,洋風,72:100:生,皮をむいてそのまま食べる
りんご,デザート,"breakfast,snack",0,和風,69:100:生,皮をむいて切って食べる
みかん,デザート,"breakfast,snack",0,和風,67:80:生,皮をむいて房ごと食べる
ヨーグルト,デザート,"breakfast,snack",0,洋風,63:100:生,器に盛ってそのまま食べる
親子丼,主食・主菜,"lunch,dinner",1,和風,52:80:煮る|61:50:煮る|29:30:煮る|6:150:蒸す,鶏もも肉を一口大に切り、玉ねぎと一緒に出汁で煮る。溶き卵を回し入れてとじ、ごはんにのせる
牛丼,主食・主菜,"lunch,dinner",1,和風,47:80:煮る|29:40:煮る|6:150:蒸す,牛肉と玉ねぎを甘辛く煮て、ごはんにのせる
豚丼,主食・主菜,"lunch,dinner",1,和風,49:80:焼く|29:30:炒める|6:150:蒸す,豚バラ肉を焼いて甘辛いタレで絡め、玉ねぎと一緒にごはんにのせる
カツ丼,主食・主菜,"lunch,dinner",0,和風,50:100:揚げる|61:50:煮る|29:30:煮る|6:150:蒸す,とんかつを卵でとじて、ごはんにのせる
天丼,主食・主菜,"lunch,dinner",0,和風,56:60:揚げる|13:40:揚げる|6:150:蒸す,えび天ぷらとなす天ぷらをごはんにのせて、たれをかける
チャーハン,主食・主菜,"lunch,dinner",1,中華,6:200:炒める|61:50:炒める|31:10:炒める|45:20:炒める,ごはんを卵と一緒に炒め、ねぎとベーコンを加える
オムライス,主食・主菜,"lunch,dinner",0,洋風,6:150:炒める|61:100:焼く|29:30:炒める|52:50:炒める,チキンライスを卵で包み、ケチャップをかける
カレーライス,主食・主菜,"lunch,dinner",3,洋風,52:80:煮る|41:60:煮る|29:40:煮る|14:30:煮る|73:20:煮る|6:150:蒸す,鶏肉と野菜を炒めてカレールーで煮込み、ごはんにかける
ハヤシライス,主食・主菜,"lunch,dinner",3,洋風,47:80:煮る|29:50:煮る|32:30:煮る|6:150:蒸す,牛肉と玉ねぎをデミグラスソースで煮込み、ごはんにかける
焼きそば,主食・主菜,"lunch,dinner",1,中華,5:200:炒める|49:50:炒める|19:60:炒める|16:40:炒める,蒸し麺と豚肉、野菜を炒めてソースで味付け
醤油ラーメン,主食・主菜,"lunch,dinner",0,中華,4:200:茹でる|49:30:煮る|24:15:煮る|31:10:生,中華麺をゆでて醤油スープに入れ、チャーシューとメンマをのせる
味噌ラーメン,主食・主菜,"lunch,dinner",0,中華,4:200:茹でる|48:30:炒める|16:40:炒める|74:15:煮る,中華麺をゆでて味噌スープに入れ、炒めたひき肉ともやしをのせる
ナポリタン,主食・主菜,"lunch,dinner",1,洋風,3:200:炒める|44:40:炒める|29:30:炒める|22:30:炒める,スパゲッティをケチャップで炒め、ウインナーと野菜を加える
ペペロンチーノ,主食・主菜,"lunch,dinner",0,洋風,3:200:炒める|45:20:炒める|30:10:炒める,スパゲッティをにんにくと唐辛子、ベーコンで炒める
カルボナーラ,主食・主菜,"lunch,dinner",0,洋風,3:200:煮る|45:30:炒める|61:50:生|62:20:煮る,スパゲッティにベーコン、卵、チーズのソースを絡める
焼きうどん,主食・主菜,"lunch,dinner",1,和風,1:230:炒める|49:50:炒める|19:60:炒める|29:30:炒める,うどんと豚肉、野菜を炒めて醤油で味付け
鍋焼きうどん,主食・主菜,dinner,0,和風,1:230:煮る|52:50:煮る|32:20:煮る|30:20:煮る|61:50:煮る,うどんを出汁で煮込み、鶏肉、しいたけ、卵をのせる
チキンソテー,主菜,"lunch,dinner",1,洋風,51:120:焼く,鶏むね肉に塩こしょうして、皮目からカリッと焼く
チキン南蛮,主菜,"lunch,dinner",2,和風,52:120:揚げる|61:30:生|29:20:生,鶏もも肉のから揚げに甘酢ダレとタルタルソースをかける
唐揚げ,主菜,"lunch,dinner",2,和風,52:100:揚げる,鶏もも肉に下味をつけて揚げる
鶏の竜田揚げ,主菜,"lunch,dinner",2,和風,52:100:揚げる,鶏肉を醤油ベースの下味に漬けて片栗粉をまぶして揚げる
ささみのチーズ焼き,主菜,"lunch,dinner",1,洋風,43:100:焼く|62:20:焼く,ささみを開いてチーズをのせ、オーブンで焼く
豚のしょうが焼き（厚切り）,主菜,"lunch,dinner",1,和風,50:120:焼く|11:10:生,厚切り豚ロースを生姜醤油ダレで焼く
豚の角煮,主菜,dinner,3,和風,49:150:煮る|30:20:煮る,豚バラ肉を甘辛く長時間煮込む
トンテキ,主菜,"lunch,dinner",1,洋風,50:120:焼く|19:40:生,豚ロースを焼いてウスターソースベースのタレで絡める
回鍋肉,主菜,"lunch,dinner",1,中華,49:80:炒める|19:80:炒める|22:30:炒める,豚バラ肉とキャベツを甜麺醤で炒める
青椒肉絲,主菜,"lunch,dinner",1,中華,49:80:炒める|22:60:炒める|12:40:炒める,豚肉とピーマン、たけのこを細切りにして炒める
麻婆豆腐,主菜,"lunch,dinner",1,中華,48:50:炒める|39:200:煮る|30:10:炒める,ひき肉を炒めて豆板醤で味付けし、豆腐を加えて煮込む
酢豚,主菜,"lunch,dinner",2,中華,49:80:揚げる|29:40:炒める|22:30:炒める|14:30:炒める,豚肉と野菜を甘酢あんで絡める
ぶりの照り焼き,主菜,"lunch,dinner",1,和風,58:80:焼く,ぶりを焼いて醤油・みりん・砂糖のタレで絡める
ぶり大根,主菜,dinner,2,和風,58:80:煮る|27:100:煮る,ぶりと大根を甘辛く煮込む
あじフライ,主菜,"lunch,dinner",1,和風,54:80:揚げる|19:30:生,あじに衣をつけて揚げ、キャベツを添える
